model,lib,algo,nrep,test0,test1,test2,test3,rtest0,rtest1,rtest2,rtest3
00004,pyssa,direct,10000,0,0,0,0,0,0,0,0
00004,pyssa,tau_adaptive,10000,0,0,0,3,0,0,0,10
00001,pyssa,direct,10000,0,0,0,0,0,0,0,0
00001,pyssa,tau_leaping,10000,0,0,0,0,0,0,0,0
00001,pyssa,tau_adaptive,10000,0,0,0,0,0,0,0,2
00003,pyssa,direct,10000,0,0,0,7,0,14,6,10
00003,pyssa,tau_leaping,10000,0,0,8,0,5,0,23,0
00003,pyssa,tau_adaptive,10000,0,3,1,5,0,27,3,12
00004,pyssa,tau_leaping,10000,0,0,0,0,0,0,0,0
00011,pyssa,direct,10000,0,0,0,0,0,0,0,0
00011,pyssa,tau_leaping,10000,0,0,0,0,0,0,0,0
00011,pyssa,tau_adaptive,10000,0,0,0,0,0,0,0,5
00020,pyssa,direct,10000,0,0,0,0,0,0,0,0
00020,pyssa,tau_leaping,10000,0,0,0,0,1,0,0,0
00020,pyssa,tau_adaptive,10000,0,13,4,0,0,9,5,0
00021,pyssa,direct,10000,0,0,0,0,0,0,0,0
00021,pyssa,tau_leaping,10000,0,0,0,0,0,0,0,1
00021,pyssa,tau_adaptive,10000,0,5,0,0,0,1,0,0
00022,pyssa,direct,10000,0,0,0,0,0,0,0,0
00022,pyssa,tau_leaping,10000,0,1,0,0,0,0,0,0
00022,pyssa,tau_adaptive,10000,0,8,0,0,0,3,0,0
00030,pyssa,direct,10000,0,0,0,0,0,0,0,0
00030,pyssa,tau_leaping,10000,18,18,0,0,0,0,0,2
00030,pyssa,tau_adaptive,10000,38,38,0,0,0,6,18,0
00031,pyssa,direct,10000,0,0,0,0,0,0,0,0
00031,pyssa,tau_leaping,10000,38,38,0,0,0,0,0,0
00031,pyssa,tau_adaptive,10000,28,28,0,0,0,0,0,0
00037,pyssa,direct,10000,0,0,0,0,0,0,0,0
00037,pyssa,tau_leaping,10000,0,0,0,0,1,0,0,1
00037,pyssa,tau_adaptive,10000,0,8,4,0,0,4,8,0
00038,pyssa,direct,10000,0,0,0,0,0,0,0,0
00038,pyssa,tau_leaping,10000,0,0,0,0,0,0,0,1
00038,pyssa,tau_adaptive,10000,0,4,5,0,0,3,15,0
00039,pyssa,direct,10000,0,0,0,0,4,6,2,2
00039,pyssa,tau_leaping,10000,49,0,44,4,49,1,45,4
00039,pyssa,tau_adaptive,10000,0,50,1,2,0,50,1,16
00005,pyssa,tau_adaptive,10000,48,0,5,0,0,0,8,3
00005,pyssa,tau_leaping,10000,0,0,0,0,0,0,0,0
00023,pyssa,tau_adaptive,10000,0,49,0,28,0,0,0,40
00023,pyssa,tau_leaping,10000,0,47,0,0,0,0,0,0
